# created 2024-03-25, epoch 2024-02-22
# station  n.points  offset[usec]  stdev[usec]
Ag    2   -0.172   0.023
Bd   39  217.267   0.003
Ft    7   -7.766   0.009
Hb   92    1.158   0.050
Ht   44    2.521   0.004
Is    3    1.523   0.005
Ke   74    0.239   0.015
Kk   82    0.532   0.002
Ma   10    0.609   0.002
Mc   45    1.677   0.004
Nn   11    1.203   0.005
Ns   27    2.071   0.002
Nt   14    2.261   0.006
Ny  179    2.310   0.007
On   14    1.373   0.006
Sa   32    2.176   0.021
Sv   59  216.590   0.002
Ur    3    1.468   0.001
Wn   14    2.115   0.003
Wz   94    2.152   0.002
Yg  166    2.277   0.003
Ys    6   -1.837   0.017
Zc   37  216.643   0.001
