# created 2026-03-24, epoch 2026-02-23
# station  n.points  offset[usec]  stdev[usec]
Gs   25    0.363   0.004
Hb   32    2.224   0.006
Hv   11    4.223   0.010
Is    1    2.759   0.000
K2   63    0.467   0.017
Ke    4    1.323   0.002
Mg   67    0.237   0.024
Nn   40    2.415   0.014
Oe    3    5.713   0.007
Ow    2    5.676   0.005
S6    2    1.679   0.004
Sa   14    2.040   0.003
Wf   14    0.765   0.003
Wn   20    1.914   0.016
Ws    9    1.980   0.004
Yg    3    1.789   0.007
Yj    3    0.158   0.006
